Category,Symbol,Description,Standard Spread (pips),ECN Spread (pips),VIP Spread (pips),Commission per Lot Round-Turn (USD),Swap Long (per night USD per lot),Swap Short (per night USD per lot),Notes
Forex Major,EURUSD,Euro / US Dollar,1.5,0.3,0.1,7,-3.5,1.2,Tightest spreads; most liquid pair
Forex Major,GBPUSD,Pound / US Dollar,2.0,0.5,0.2,7,-2.8,0.5,
Forex Major,USDJPY,US Dollar / Yen,1.5,0.3,0.1,7,1.5,-3.8,
Forex Major,USDCHF,US Dollar / Swiss Franc,2.0,0.6,0.3,7,0.8,-2.5,
Forex Major,AUDUSD,Australian Dollar / USD,1.8,0.5,0.2,7,-1.5,0.2,
Forex Major,NZDUSD,New Zealand Dollar / USD,2.0,0.6,0.3,7,-2.0,0.3,
Forex Major,USDCAD,US Dollar / Canadian Dollar,2.0,0.6,0.3,7,1.0,-3.0,
Forex Minor,EURGBP,Euro / Pound,2.5,0.8,0.4,7,-1.2,-0.5,
Forex Minor,EURJPY,Euro / Yen,2.2,0.6,0.3,7,-2.0,-2.0,
Forex Minor,GBPJPY,Pound / Yen,3.0,1.2,0.6,7,-1.0,-3.5,
Forex Exotic,USDTRY,US Dollar / Turkish Lira,80,40,25,7,25,-180,Very wide spreads, volatile
Forex Exotic,USDZAR,US Dollar / South African Rand,150,90,60,7,12,-45,
Forex Exotic,USDMXN,US Dollar / Mexican Peso,90,50,30,7,18,-60,
Metals,XAUUSD,Gold / USD,35,18,10,10,-9,5,High client demand; tight pricing
Metals,XAGUSD,Silver / USD,25,12,8,10,-6,3,
Metals,XPTUSD,Platinum / USD,250,150,100,10,-12,6,
Metals,XPDUSD,Palladium / USD,400,250,180,10,-15,8,
Indices,US30 (DJ30),Dow Jones 30 Futures,3.0 points,1.5 points,1.0 points,0,-1.2,0.3,Quoted in index points not pips
Indices,US500 (SPX),S&P 500 Futures,0.5 points,0.25 points,0.15 points,0,-0.8,0.2,
Indices,USTEC (NAS),Nasdaq 100 Futures,1.5 points,0.8 points,0.4 points,0,-1.5,0.4,
Indices,GER40 (DAX),Germany 40,1.5 points,0.8 points,0.5 points,0,-0.5,-0.2,
Indices,UK100 (FTSE),FTSE 100,1.5 points,0.8 points,0.5 points,0,-0.4,-0.1,
Indices,JPN225 (Nikkei),Nikkei 225,12 points,6 points,4 points,0,0.5,-1.0,
Commodities,USOIL (WTI),Crude Oil WTI,4 cents,2 cents,1.5 cents,0,-2.5,-3.0,Spread in cents per barrel
Commodities,UKOIL (Brent),Brent Crude,5 cents,3 cents,2 cents,0,-2.8,-3.2,
Commodities,NATGAS,Natural Gas,3 cents,1.5 cents,1 cents,0,-0.8,-0.5,
Crypto,BTCUSD,Bitcoin / USD,40 USD,25 USD,15 USD,0,-25,-15,Swap usually triple-charged on Wed (3x weekend)
Crypto,ETHUSD,Ethereum / USD,4 USD,2.5 USD,1.5 USD,0,-3.5,-2,
Crypto,XRPUSD,Ripple / USD,0.001 USD,0.0006 USD,0.0004 USD,0,-0.05,-0.03,
Crypto,LTCUSD,Litecoin / USD,0.30 USD,0.18 USD,0.10 USD,0,-0.4,-0.2,
Crypto,SOLUSD,Solana / USD,0.15 USD,0.08 USD,0.05 USD,0,-0.3,-0.18,
